---|ARABIC|---	^-
🇮🇹 Canale 5 FHD	00!0!1/323203
🇮🇹 Italia 1 FHD²	00!0!1/323204
🇮🇹 Italia 1 FHD¹	00!0!1/323205
🇮🇹 Italia 1 HD	00!0!1/323206
🇮🇹 La 7 HD	00!0!1/323207
🇮🇹 La 7 FHD	00!0!1/323208
🇮🇹 LA7 d HD**	00!0!1/323209
🇮🇹 TV8 HD	00!0!1/323210
🇮🇹 Italia 2 HD	00!0!1/323211
🇮🇹 Canale 7	00!0!1/323213
🇮🇹 RSI LA 1 HD	00!0!1/323214
🇮🇹 RSI LA 2 HD	00!0!1/323215
🇮🇹 Rai News 24 FHD	00!0!1/323217
🇮🇹 Rai News 24 HD	00!0!1/323218
🇮🇹 Sky TG24 FHD	00!0!1/323219
🇮🇹 TGCOM24 HD	00!0!1/323220
🇮🇹 Mediaset EXTRA FHD	00!0!1/323223
🇮🇹 Rai 4 HD	00!0!1/323224
🇮🇹 Rai 4 FHD	00!0!1/323225
🇮🇹 Rai 5 HD	00!0!1/323226
🇮🇹 Rai 5 FHD	00!0!1/323227
🇮🇹 Nove HD	00!0!1/323228
🇮🇹 Nove FHD	00!0!1/323229
🇮🇹 Rai Premium HD	00!0!1/323230
🇮🇹 Rai Premium FHD	00!0!1/323231
🇮🇹 Rai Scuola HD	00!0!1/323232
🇮🇹 Rai Scuola FHD	00!0!1/323233
🇮🇹 Rai Storia HD	00!0!1/323234
🇮🇹 Rai Storia FHD	00!0!1/323235
🇮🇹 20 Mediaset FHD	00!0!1/323236
🇮🇹 20 Mediaset HD	00!0!1/323237
🇮🇹 La 5 FHD	00!0!1/323238
🇮🇹 Mediaset ITALIA DUE FHD	00!0!1/323239
🇮🇹 Mediaset ITALIA DUE HD	00!0!1/323240
🇮🇹 Giallo HD	00!0!1/323241
🇮🇹 Giallo FHD	00!0!1/323242
🇮🇹 Real Time HD	00!0!1/323243
🇮🇹 Real Time FHD	00!0!1/323244
🇮🇹 DMAX HD	00!0!1/323245
🇮🇹 DMAX FHD	00!0!1/323246
🇮🇹 Motor Trend HD	00!0!1/323247
🇮🇹 Motor Trend FHD	00!0!1/323248
🇮🇹 Food Network FHD**	00!0!1/323249
🇮🇹 Cine34 FHD**	00!0!1/323251
🇮🇹 Top crime HD*	00!0!1/323252
🇮🇹 Top crime FHD	00!0!1/323253
🇮🇹 Iris FHD	00!0!1/323254
🇮🇹 Rai Movie HD	00!0!1/323256
🇮🇹 Rai Movie FHD	00!0!1/323257
🇮🇹 Mediaset 27 HD**	00!0!1/323258
🇮🇹 Rai Sport + HD	00!0!1/323260
🇮🇹 Rai Sport+ FHD	00!0!1/323261
🇮🇹 Super Tennis FHD	00!0!1/323262
🇮🇹 Super Tennis HD	00!0!1/323263
🇮🇹 Sport Italia FHD	00!0!1/323264
🇮🇹 Sport Italia FHD	00!0!1/323265
🇮🇹 Bianconera Juventus TV	00!0!1/323266
🇮🇹 Inter Milan TV	00!0!1/323267
🇮🇹 Equ TV FHD	00!0!1/323268
🇮🇹 Horse & Country FHD	00!0!1/323269
🇮🇹 Italian Fishing TV***	00!0!1/323270
🇮🇹 UFC FIGHT PASS	00!0!1/323274
🇮🇹 Cielo FHD	00!0!1/323276
🇮🇹 Cielo	00!0!1/323277
🇮🇹 Focus HD	00!0!1/323278
🇮🇹 Focus FHD	00!0!1/323279
🇮🇹 Discovery Sci	00!0!1/323280
🇮🇹 HGTV Italy FHD	00!0!1/323281
🇮🇹 TV2000 FHD	00!0!1/323282
🇮🇹 TV2000 HD	00!0!1/323283
🇮🇹 Dea Kids	00!0!1/323284
🇮🇹 51 Radio	00!0!1/323288
🇮🇹 SPORT ITALIA PLUS	00!0!1/323291
🇮🇹 RAI Yoyo	00!0!1/323295
🇮🇹 Rai Yoyo FHD	00!0!1/323296
🇮🇹 Rai Gulp HD	00!0!1/323297
🇮🇹 Rai Gulp FHD	00!0!1/323298
🇮🇹 Boing HD*	00!0!1/323299
🇮🇹 Cartoonito FHD**	00!0!1/323300
🇮🇹 Super! HD	00!0!1/323301
🇮🇹 Discovery K2****	00!0!1/323302
🇮🇹 FRISBEE	00!0!1/323303
🇮🇹 Sophia TV HD	00!0!1/323305
🇮🇹 Aurora Arte	00!0!1/323309
🇮🇹 Cafe 24	00!0!1/323310
🇮🇹 Esperia TV	00!0!1/323312
🇮🇹 Elive TV Brescia	00!0!1/323313
🇮🇹 Reggio TV	00!0!1/323314
🇮🇹 Super TV Brescia	00!0!1/323316
🇮🇹 Telechiara	00!0!1/323317
🇮🇹 Telefoggia	00!0!1/323318
🇮🇹 TeleTicino	00!0!1/323320
🇮🇹 Teletricolore	00!0!1/323321
🇮🇹 TV Qui Modena	00!0!1/323322
🇮🇹 TelePAVIA	00!0!1/323323
🇮🇹 RTV Sport San Marino	00!0!1/323324
🇮🇹 RTP	00!0!1/323325
🇮🇹 Junior TV	00!0!1/323327
🇮🇹 PACI CONTEMPORARY CHANNEL	00!0!1/323329
🇮🇹 Senato	00!0!1/323330
🇮🇹 Yes TV	00!0!1/323331
🇮🇹 La 5 HD	00!0!1/323332
Comedy Central	00!0!1/323334
Nickelodeon	00!0!1/323335
Cartoon Network FHD	00!0!1/323336
🇮🇹 Mediaset EXTRA HD	00!0!1/323337
🇮🇹 Discovery Channel FHD**	00!0!1/323338
🇮🇹 Sky Pesca	00!0!1/323339
Milan TV HD	00!0!1/323341
🇮🇹 Canale 5	00!0!1/323342
Warner FHD	00!0!1/323343
🇮🇹 FRISBEE FHD	00!0!1/323344
🇮🇹 BOING PLUS	00!0!1/323346
🇮🇹 SKY HISTORY FHD	00!0!1/323347
EUROSPORT 1 FHD	00!0!1/323349
🇮🇹 Super TV HD	00!0!1/323350
🇮🇹 LA 5	00!0!1/323351
🇮🇹 SKY TG24	00!0!1/323353
🇮🇹 TG NORBA 24 HD	00!0!1/323354
🇮🇹 LA C TV	00!0!1/323356
🇮🇹 SPORT ITALIA SOLO CALCIO	00!0!1/323359
🇮🇹 ACI Sport	00!0!1/323360
🇮🇹 Cartoonito HD	00!0!1/323361
🇮🇹 La 7d FHD	00!0!1/323362
🇮🇹 Sky Sport 24 HD	00!0!1/323363
🇮🇹 Sky Sport Uno HD	00!0!1/323364
🇮🇹 SKY Cinema Comedy FHD	00!0!1/323365
🇮🇹 Sky Sport Uno FHD	00!0!1/323366
🇮🇹 Sky Cinema Uno FHD	00!0!1/323367
🇮🇹 Sky Cinema Drama FHD	00!0!1/323368
🇮🇹 Sky Atlantic FHD	00!0!1/323369
🇮🇹 Sky Uno	00!0!1/323370
🇮🇹 SKY ARTE FHD	00!0!1/323371
🇮🇹 DAZN 1 IT	00!0!1/323372
🇮🇹 SKY CINEMA DUE HD	00!0!1/323373
🇮🇹 SKY SPORT F1 FHD	00!0!1/323374
🇮🇹 Sky Sport NBA FHD	00!0!1/323375
🇮🇹 Sky Sport Moto GP HD	00!0!1/323376
🇮🇹 SKY SPORT F1 HD	00!0!1/323377
🇮🇹 Sky Sport Arena FHD	00!0!1/323378
🇮🇹 Sky Sport Moto GP FHD	00!0!1/323379
🇮🇹 Sky Cinema Suspense FHD	00!0!1/323381
🇮🇹 Sky Cinema Family HD	00!0!1/323382
🇮🇹 Sky Sport 24 FHD	00!0!1/323383
🇮🇹 Sky Cinema Action HD	00!0!1/323384
🇮🇹 SKY CINEMA FAMILY FHD	00!0!1/323385
🇮🇹 Sky Cinema Romance FHD	00!0!1/323386
🇮🇹 Sky Sport Calcio HD	00!0!1/323387
🇮🇹 Sky Sport Max FHD	00!0!1/323388
🇮🇹 Sky Cinema Collection FHD	00!0!1/323389
DAZN 2	00!0!1/323390
🇮🇹 Sky Cinema Action FHD	00!0!1/323391
🇮🇹 Sky Investigation	00!0!1/323392
🇮🇹 Sky Documentaries	00!0!1/323393
Sky Serie FHD	00!0!1/323394
🇮🇹 Sky Sport Calcio FHD	00!0!1/323395
🇮🇹 Sky Sport 251	00!0!1/323396
🇮🇹 Sky Sport 252 FHD	00!0!1/323397
🇮🇹 Sky Sport 254 FHD	00!0!1/323398
🇮🇹 Sky Sport 257	00!0!1/323400
🇮🇹 Sky Sport 258	00!0!1/323401
🇮🇹 Sky Sport Golf FHD	00!0!1/323402
🇮🇹 Sky Sport Tennis FHD	00!0!1/323403
🇮🇹 Sky Cinema DUE FHD	00!0!1/323404
🇮🇹 Sky Cinema UNO HD	00!0!1/323405
🇮🇹 Sky Nature	00!0!1/323406
🇬🇧 VIAPLAY SPORTS 2	00!0!1/323408
🇬🇧 TNT SPORTS ULTIMATE	00!0!1/323410
🇬🇧 TNT SPORTS 10	00!0!1/323411
🇬🇧 TNT SPORTS 09	00!0!1/323412
🇬🇧 TNT SPORTS 8	00!0!1/323413
🇬🇧 TNT SPORTS 7	00!0!1/323414
🇬🇧 TNT SPORTS 6	00!0!1/323415
🇬🇧 TRAVELXP	00!0!1/323419
🇬🇧 NICK JUNIOR	00!0!1/323420
🇬🇧 Sky Store info ᴴᴰ	00!0!1/323421
🇬🇧 Sky Store Premiere 1 ᴴᴰ	00!0!1/323422
🇬🇧 Sky Store Premiere 2 ᴴᴰ	00!0!1/323423
🇬🇧 Sky Store Premiere 3 ᴴᴰ	00!0!1/323424
🇬🇧 Sky Store Premiere 4 ᴴᴰ	00!0!1/323425
🇬🇧 Sky Store Premiere 5 ᴴᴰ	00!0!1/323426
🇬🇧 Sky Store Premiere 6 ᴴᴰ	00!0!1/323427
🇬🇧 Sky Store Premiere 7 ᴴᴰ	00!0!1/323428
🇬🇧 Sky Store Premiere 8 ᴴᴰ	00!0!1/323429
🇬🇧 Sky Store Premiere 9 ᴴᴰ	00!0!1/323430
🇬🇧 Sky Store Premiere 10 ᴴᴰ	00!0!1/323431
🇬🇧 Sky Store Premiere 11 ᴴᴰ	00!0!1/323432
🇬🇧 Sky Store Premiere 12 ᴴᴰ	00!0!1/323433
🇬🇧 Sky Store Premiere 13 ᴴᴰ	00!0!1/323434
🇬🇧 Sky Store Premiere 14 ᴴᴰ	00!0!1/323435
🇬🇧 Sky Store Premiere 15 ᴴᴰ	00!0!1/323436
🇬🇧 Sky Store Premiere 16 ᴴᴰ	00!0!1/323437
🇬🇧 Sky Store Premiere 17 ᴴᴰ	00!0!1/323438
🇬🇧 Sky Store Premiere 18 ᴴᴰ	00!0!1/323439
🇬🇧 Sky Store Premiere 19 ᴴᴰ	00!0!1/323440
🇬🇧 Sky Store Premiere 20 ᴴᴰ	00!0!1/323441
🇬🇧 Sky Store Premiere 21 ᴴᴰ	00!0!1/323442
🇬🇧 Sky Store Premiere 22 ᴴᴰ	00!0!1/323443
🇬🇧 Sky Store Premiere 23 ᴴᴰ	00!0!1/323444
🇬🇧 Sky Store Premiere 24 ᴴᴰ	00!0!1/323445
🇬🇧 Sky Store Premiere 25 ᴴᴰ	00!0!1/323446
🇬🇧 Sky Store Premiere 26 ᴴᴰ	00!0!1/323447
🇬🇧 Sky Store Premiere 27 ᴴᴰ	00!0!1/323448
🇬🇧 Sky Store Premiere 28 ᴴᴰ	00!0!1/323449
🇬🇧 Sky Store Premiere 29 ᴴᴰ	00!0!1/323450
🇬🇧 Sky Store Premiere 30 ᴴᴰ	00!0!1/323451
🇬🇧 4MUSIC VIP	00!0!1/323474
🇬🇧 4SEVEN VIP	00!0!1/323475
🇬🇧 5SELECT VIP	00!0!1/323476
🇬🇧 5STAR VIP	00!0!1/323477
🇬🇧 5USA VIP	00!0!1/323478
🇬🇧 ABP NEWS VIP	00!0!1/323479
🇬🇧 AL JAZEERA VIP	00!0!1/323480
🇬🇧 ALIBI VIP	00!0!1/323481
🇬🇧 ALJAZEERA NEWS VIP	00!0!1/323482
🇬🇧 AMC VIP	00!0!1/323483
🇬🇧 ANIMAL PLANET VIP	00!0!1/323484
🇬🇧 ARY DIGITAL VIP	00!0!1/323485
🇬🇧 B4U MOVIES VIP	00!0!1/323486
🇬🇧 B4U MUSIC VIP	00!0!1/323487
🇬🇧 B4U PLUS VIP	00!0!1/323488
🇬🇧 BABY TV VIP	00!0!1/323489
🇬🇧 BBC 3 VIP	00!0!1/323490
🇬🇧 BBC ENTERTAINMENT VIP	00!0!1/323492
🇬🇧 BBC FOUR VIP	00!0!1/323493
🇬🇧 BBC NEWS VIP	00!0!1/323494
🇬🇧 BBC ONE VIP	00!0!1/323495
🇬🇧 BBC PARLIAMENT VIP	00!0!1/323496
🇬🇧 BBC SCOTLAND VIP	00!0!1/323497
🇬🇧 BBC TWO ENG VIP	00!0!1/323499
🇬🇧 BBC TWO VIP	00!0!1/323501
🇬🇧 BBC Two Wales VIP	00!0!1/323502
🇬🇧 BBC WORLD NEWS VIP	00!0!1/323503
🇬🇧 BLAZE VIP	00!0!1/323504
🇬🇧 BLOOMBERG VIP	00!0!1/323505
🇬🇧 BOOMERANG VIP	00!0!1/323506
🇬🇧 BOX NATION VIP	00!0!1/323507
🇬🇧 TNT SPORTS 1 VIP	00!0!1/323508
🇬🇧 TNT SPORTS 2 VIP	00!0!1/323509
🇬🇧 TNT SPORTS 3 VIP	00!0!1/323510
🇬🇧 TNT SPORTS 4 VIP	00!0!1/323511
🇬🇧 TNT SPORTS ESPN VIP	00!0!1/323512
🇬🇧 CARTOONITO VIP	00!0!1/323513
🇬🇧 CBBC VIP	00!0!1/323514
🇬🇧 CBEEBIES VIP	00!0!1/323515
🇬🇧 CBS ACTION VIP	00!0!1/323516
🇬🇧 CBS DRAMA VIP	00!0!1/323517
🇬🇧 CBS JUSTICE VIP	00!0!1/323518
🇬🇧 CBS REALITY VIP	00!0!1/323519
🇬🇧 CHALLENGE VIP	00!0!1/323520
🇬🇧 CHANNEL 4 VIP	00!0!1/323521
🇬🇧 CHANNEL 5 VIP	00!0!1/323522
🇬🇧 CITV VIP	00!0!1/323523
🇬🇧 CNN VIP	00!0!1/323524
🇬🇧 COLORS EUROPE VIP	00!0!1/323525
🇬🇧 COLORS VIP	00!0!1/323526
🇬🇧 COMEDY CENTRAL EXTRA VIP	00!0!1/323527
🇬🇧 COMEDY CENTRAL VIP	00!0!1/323528
🇬🇧 Dave Ja Vu VIP	00!0!1/323530
🇬🇧 DAVE VIP	00!0!1/323531
🇬🇧 DISCOVERY CHANNEL VIP	00!0!1/323532
🇬🇧 DISCOVERY SCIENCE VIP	00!0!1/323533
🇬🇧 DISNEY CHANNEL VIP	00!0!1/323534
🇬🇧 DISNEY JUNIOR VIP	00!0!1/323535
🇬🇧 DISNEY XD VIP	00!0!1/323536
🇬🇧 DMAX VIP	00!0!1/323537
🇬🇧 DRAMA VIP	00!0!1/323538
🇬🇧 E! VIP	00!0!1/323539
🇬🇧 E4 Extra VIP	00!0!1/323540
🇬🇧 E4 VIP	00!0!1/323541
🇬🇧 EDEN VIP	00!0!1/323542
🇬🇧 EIR SPORT 1 VIP	00!0!1/323543
🇬🇧 EIR SPORT 2 VIP	00!0!1/323544
🇬🇧 EURONEWS VIP	00!0!1/323545
🇬🇧 EUROSPORT 1 VIP	00!0!1/323546
🇬🇧 EUROSPORT 2 VIP	00!0!1/323547
🇬🇧 FILM 4 VIP	00!0!1/323548
🇬🇧 FOOD NETWORK VIP	00!0!1/323550
🇬🇧 FOX NEWS VIP	00!0!1/323551
🇬🇧 FOX VIP	00!0!1/323552
🇬🇧 FRANCE 24 VIP	00!0!1/323553
🇬🇧 GB NEWS VIP	00!0!1/323554
🇬🇧 GOLD VIP	00!0!1/323555
🇬🇧 GOOD FOOD VIP	00!0!1/323556
🇬🇧 HGTV +1 VIP	00!0!1/323557
🇬🇧 HISTORY 2 VIP	00!0!1/323558
🇬🇧 HORROR CHANNEL VIP	00!0!1/323560
🇬🇧 HORSE AND COUNTRY VIP	00!0!1/323561
🇬🇧 INVESTIGATION DISCOVERY VIP	00!0!1/323562
🇬🇧 ITV +1 VIP	00!0!1/323563
🇬🇧 ITV 2 VIP	00!0!1/323564
🇬🇧 ITV 3 VIP	00!0!1/323565
🇬🇧 ITV 4 +1 VIP	00!0!1/323566
🇬🇧 ITV 4 VIP	00!0!1/323567
🇬🇧 ITV VIP	00!0!1/323568
🇬🇧 ITVBE VIP	00!0!1/323569
🇬🇧 LALIGA TV VIP	00!0!1/323570
🇬🇧 LONDON LIVE VIP	00!0!1/323571
🇬🇧 MAGIC VIP	00!0!1/323572
🇬🇧 MORE 4 VIP	00!0!1/323573
🇬🇧 MTV 80s VIP	00!0!1/323574
🇬🇧 MTV 90s VIP	00!0!1/323575
🇬🇧 MTV BASE VIP	00!0!1/323576
🇬🇧 MTV HITS VIP	00!0!1/323577
🇬🇧 MTV LIVE VIP	00!0!1/323578
🇬🇧 MTV MUSIC VIP	00!0!1/323579
🇬🇧 MTV ROCKS VIP	00!0!1/323580
🇬🇧 MUTV VIP	00!0!1/323581
🇬🇧 NAT GEO VIP	00!0!1/323582
🇬🇧 NAT GEO WILD VIP	00!0!1/323583
🇬🇧 NICK JR TOO VIP	00!0!1/323584
🇬🇧 NICK JR VIP	00!0!1/323585
🇬🇧 NICKTOONS VIP	00!0!1/323587
🇬🇧 NOW 70S VIP	00!0!1/323588
🇬🇧 NOW 80S VIP	00!0!1/323589
🇬🇧 PARAMOUNT VIP	00!0!1/323591
🇬🇧 PBS AMERICA VIP	00!0!1/323592
🇬🇧 PEACE TV VIP	00!0!1/323593
🇬🇧 PICK VIP	00!0!1/323594
🇬🇧 Pop Max VIP	00!0!1/323595
🇬🇧 POP VIP	00!0!1/323596
🇬🇧 PREMIER SPORTS 1	00!0!1/323597
🇬🇧 RACING VIP	00!0!1/323601
🇬🇧 REALLY VIP	00!0!1/323602
🇬🇧 RTE 1 VIP	00!0!1/323603
🇬🇧 RTE 2 VIP	00!0!1/323604
🇬🇧 RTE JR VIP	00!0!1/323605
🇬🇧 RTE NEWS VIP	00!0!1/323606
🇬🇧 RTE ONE VIP	00!0!1/323607
🇬🇧 RTE TWO VIP	00!0!1/323608
🇬🇧 S4C VIP	00!0!1/323609
🇬🇧 SAB TV VIP	00!0!1/323610
🇬🇧 SHOWCASE VIP	00!0!1/323611
🇬🇧 SKY 1 VIP	00!0!1/323612
🇬🇧 SKY 2 VIP	00!0!1/323613
🇬🇧 SKY ARTS VIP	00!0!1/323614
🇬🇧 SKY ATLANTIC VIP	00!0!1/323615
🇬🇧 SKY CINEMA ACTION VIP	00!0!1/323616
🇬🇧 SKY CINEMA ANIMATION VIP	00!0!1/323617
🇬🇧 SKY CINEMA COMEDY VIP	00!0!1/323618
🇬🇧 SKY CINEMA DISNEY VIP	00!0!1/323619
🇬🇧 SKY CINEMA DRAMA VIP	00!0!1/323620
🇬🇧 SKY CINEMA FAMILY VIP	00!0!1/323621
🇬🇧 SKY CINEMA GREATS VIP	00!0!1/323622
🇬🇧 SKY CINEMA HITS VIP	00!0!1/323623
🇬🇧 SKY CINEMA PREMIERE VIP	00!0!1/323624
🇬🇧 SKY CINEMA SCI-FI VIP	00!0!1/323625
🇬🇧 SKY CINEMA SELECT VIP	00!0!1/323626
🇬🇧 sky SHOWCASE VIP	00!0!1/323627
🇬🇧 SKY CINEMA THRILLER VIP	00!0!1/323628
🇬🇧 SKY CRIME VIP	00!0!1/323629
🇬🇧 SKY DOCUMENTARIES VIP	00!0!1/323630
🇬🇧 SKY NATURE VIP	00!0!1/323631
🇬🇧 SKY NEWS VIP	00!0!1/323632
🇬🇧 SKY SPORTS NEWS VIP	00!0!1/323633
🇬🇧 SKY SPORTS ACTION VIP	00!0!1/323634
🇬🇧 SKY SPORTS ARENA VIP	00!0!1/323635
🇬🇧 SKY SPORTS CRICKET VIP	00!0!1/323636
🇬🇧 SKY SPORTS F1 VIP	00!0!1/323637
🇬🇧 SKY SPORTS FOOTBALL VIP [Events]	00!0!1/323638
🇬🇧 SKY SPORTS GOLF VIP [Match]	00!0!1/323639
🇬🇧 SKY SPORTS MAIN EVENT VIP	00!0!1/323640
🇬🇧 SKY SPORTS MIX VIP	00!0!1/323641
🇬🇧 SKY SPORTS NFL VIP	00!0!1/323642
🇬🇧 SKY SPORTS PREMIER LEAGUE VIP [Events]	00!0!1/323643
🇬🇧 SKY SPORTS RACING VIP	00!0!1/323644
🇬🇧 Sky Store Sci-Fi	00!0!1/323645
🇬🇧 SKY WITNESS VIP	00!0!1/323646
🇬🇧 SONY CHANNEL VIP	00!0!1/323647
🇬🇧 SONY MAX 2 VIP	00!0!1/323648
🇬🇧 SONY MAX VIP	00!0!1/323649
🇬🇧 SONY MOVIE CHANNEL VIP	00!0!1/323650
🇬🇧 SONY SAB VIP	00!0!1/323651
🇬🇧 STV VIP	00!0!1/323653
🇬🇧 SYFY VIP	00!0!1/323654
🇬🇧 TCM MOVIES VIP	00!0!1/323655
🇬🇧 TINY POP VIP	00!0!1/323656
🇬🇧 TLC VIP	00!0!1/323657
🇬🇧 TRAVEL CHANNEL VIP	00!0!1/323658
🇬🇧 UFC FIGHT NIGHT PASS VIP	00!0!1/323659
🇬🇧 UNIVERSAL CHANNEL VIP	00!0!1/323660
🇬🇧 UTV VIP	00!0!1/323662
🇬🇧 VH1 VIP	00!0!1/323663
🇬🇧 VICELAND VIP	00!0!1/323664
🇬🇧 VIRGIN MEDIA three VIP	00!0!1/323665
🇬🇧 WATCH VIP	00!0!1/323666
🇬🇧 ZEE TV VIP INDIA	00!0!1/323668
🇬🇧 PREMIER SPORTS 2	00!0!1/323669
🇬🇧 TNT SPORTS 1	00!0!1/323670
🇬🇧 Liverpool	00!0!1/323671
🇪🇸 TAQUILLA 4 HD	00!0!1/323699
🇪🇸 TAQUILLA 3 HD	00!0!1/323700
🇪🇸 TAQUILLA 2 HD	00!0!1/323701
🇪🇸 TAQUILLA 1 HD	00!0!1/323702
🇪🇸 ALQUILER 2 HD	00!0!1/323703
🇪🇸 ALQUILER 3 HD	00!0!1/323704
🇪🇸 ALQUILER 4 HD	00!0!1/323705
🇬🇹 CANAL 11	00!0!1/323708
🇬🇹 CANAL 13	00!0!1/323709
🇬🇹 CANAL ANTIGUA	00!0!1/323710
🇬🇹 GUATEVISION	00!0!1/323711
🇬🇹 CANAL 3	00!0!1/323712
🇬🇹 CANAL 7	00!0!1/323713
🇬🇹 AZTECA	00!0!1/323714
Claro Sports 2 HD	00!0!1/323716
Claro Sports 2	00!0!1/323717
🇬🇹 Rhema TV	00!0!1/323720
🇬🇹 TVS	00!0!1/323721
🇬🇹 Tigo Sports FHD	00!0!1/323725
🇬🇹 Tigo Sports FHD	00!0!1/323726
🇬🇹 Tigo Sports FHD	00!0!1/323727
🇬🇹 Tigo Sports FHD	00!0!1/323728
🇬🇹 Claro Sports HD	00!0!1/323731
🇬🇹 Claro Sports HD	00!0!1/323732
🇺🇾 Canal 10 SD	00!0!1/323733
🇺🇾 Teledoce HD	00!0!1/323734
🇺🇾 TV Ciudad	00!0!1/323735
🇺🇾 VTV HD	00!0!1/323736
🇺🇾 VTV HD	00!0!1/323737
🇺🇾 + A+V	00!0!1/323738
🇺🇾 + Canal 4 Paysandu	00!0!1/323739
🇺🇾 + Canal 4 Salto	00!0!1/323740
🇺🇾 + Canal 10 HD	00!0!1/323742
🇺🇾 + Canal 12 HD	00!0!1/323743
🇺🇾 + Canal 4 HD	00!0!1/323744
🇺🇾 VTV SD	00!0!1/323745
🇺🇾 VTV Plus HD	00!0!1/323746
🇺🇾 *VTV	00!0!1/323747
🇺🇾 CANAL 4 FHD	00!0!1/323748
🇺🇾 Canal 12 SD	00!0!1/323749
🇺🇾 Canal 4 SD	00!0!1/323750
🇺🇾 LS: VTV OPC 1	00!0!1/323751
🇺🇾 LS: VTV OPC 3	00!0!1/323752
🇺🇾 LS: VTV OPC 4	00!0!1/323753
🇺🇾 LS: VTV OPC 2	00!0!1/323754
🇺🇾 TNU HD	00!0!1/323755
🇺🇾 VTV PLUS	00!0!1/323756
🇺🇾 CAMARA DE SENADORES	00!0!1/323757
PPV URUGUAY 1 HD	00!0!1/323759
🇺🇾 Canal UCL	00!0!1/323760
🇺🇾 LA RED	00!0!1/323761
Discovery Channel HD OPC 2	00!0!1/323785
IVC OPC 2	00!0!1/323942
🇻🇪 VEPACO	00!0!1/323946
🇻🇪 VENEVISION PLUS OPC 2	00!0!1/323948
🇻🇪 TELESOL	00!0!1/323961
🇻🇪 TELEARAGUA	00!0!1/323963
🇻🇪 REFORMA PLUS	00!0!1/323964
🇻🇪 REFORMA	00!0!1/323965
🇻🇪 MDA TV	00!0!1/323969
🇻🇪 EVTV MIAMI	00!0!1/323974
🇻🇪 CANAL LGD TV Aguacate	00!0!1/323979
Directv sports Para españa	00!0!1/328751
ESPN Para españa	00!0!1/328752
Espn Deportes Para españa	00!0!1/328753
🇻🇪 TELEVEN OPC 2	00!0!1/323959
TELEVEN	00!0!1/147464
TELEFE HD	00!0!1/336839
DIRECTV SPORTS	00!0!1/336840
DIRECTV SPORTS 2 SUR	00!0!1/336841
SPORTV 1 HD	00!0!1/336842
TVG 2 Network	00!0!1/338027
MLS SOCCER 01	00!0!1/340559
MLB 01	00!0!1/340560
MLB 02	00!0!1/340561
MLB 03	00!0!1/340562
MLB 04	00!0!1/340563
MLB 05	00!0!1/340564
MLB 06	00!0!1/340565
MLB 07	00!0!1/340566
MLB 08	00!0!1/340567
MLB 09	00!0!1/340568
MLB 10	00!0!1/340569
MLB 11	00!0!1/340570
MLB 12	00!0!1/340571
MLB 13	00!0!1/340572
MLB 14	00!0!1/340573
MLB 15	00!0!1/340574
